GEOID,all,count
17031821402,all,0
17031821500,all,0
17031821600,all,0
17031821700,all,0
17031821900,all,0
17031822000,all,0
17031822101,all,0
17031822701,all,0
17031822702,all,0
17031822802,all,0
17031823200,all,0
17031823303,all,0
17031823304,all,0
17031823400,all,0
17031823500,all,0
17031825700,all,0
17031825801,all,0
17031826401,all,0
17031826500,all,0
17031830500,all,9
17031830600,all,3
17031830700,all,18
17031830800,all,0
17031830900,all,2
17031831000,all,0
17031831100,all,6
17031831200,all,10
17031831300,all,2
17031831400,all,14
17031831500,all,2
17031831600,all,5
17031831700,all,1
17031831800,all,4
17031831900,all,0
17031832000,all,6
17031832100,all,1
17031832200,all,1
17031832300,all,2
17031832400,all,8
17031832500,all,3
17031832600,all,0
17031832900,all,1
17031833000,all,7
17031833100,all,2
17031833300,all,2
17031833900,all,12
17031834000,all,20
17031834200,all,24
17031834300,all,22
17031834400,all,10
17031834500,all,18
17031834600,all,50
17031834700,all,44
17031834800,all,19
17031834900,all,19
17031835000,all,30
17031835100,all,36
17031835200,all,0
17031835500,all,14
17031835600,all,11
17031835700,all,4
17031835800,all,5
17031835900,all,22
17031836000,all,11
17031836100,all,20
17031836200,all,0
17031836300,all,0
17031836400,all,7
17031836500,all,4
17031836600,all,16
17031836700,all,18
17031836800,all,23
17031836900,all,6
17031837000,all,11
17031837100,all,8
17031837300,all,12
17031837400,all,23
17031837800,all,9
17031838000,all,7
17031838100,all,10
17031838200,all,1
17031838300,all,4
17031838600,all,8
17031838700,all,43
17031838800,all,18
17031839000,all,2
17031839100,all,5
17031839200,all,10
17031839500,all,1
17031839600,all,9
17031839700,all,2
17031839800,all,0
17031839900,all,7
17031840000,all,1
17031840100,all,1
17031840200,all,4
17031840300,all,7
17031840400,all,4
17031840700,all,12
17031840800,all,13
17031841000,all,12
17031841100,all,4
17031841200,all,7
17031841300,all,8
17031841400,all,11
17031841500,all,28
17031841600,all,3
17031841700,all,6
17031841800,all,26
17031841900,all,4
17031842000,all,0
17031842100,all,35
17031842200,all,13
17031842300,all,6
17031842400,all,22
17031842500,all,20
17031842600,all,10
17031842800,all,19
17031842900,all,39
17031843000,all,23
17031843100,all,23
17031843200,all,7
17031843300,all,6
17031843400,all,16
17031843500,all,3
17031843600,all,14
17031843700,all,1
17031843800,all,10
17031843900,all,18
