GEOID,owner
17031837400,vice lords
17031837800,black p stones
17031838000,vice lords
17031838100,peaceful
17031838200,peaceful
17031838300,gangster disciples
17031838600,vice lords
17031838700,vice lords
17031838800,black p stones
17031839000,peaceful
17031839100,peaceful
17031839200,gangster disciples
17031839500,peaceful
17031839600,gangster disciples
17031839700,peaceful
17031839800,peaceful
17031839900,peaceful
17031840000,peaceful
17031840100,peaceful
17031840200,peaceful
17031840300,gangster disciples
17031840400,peaceful
17031840700,gangster disciples
17031840800,gangster disciples
17031841000,peaceful
17031841100,black p stones
17031841200,vice lords
17031841300,gangster disciples
17031841400,vice lords
17031841500,vice lords
17031841600,peaceful
17031841700,gangster disciples
17031841800,black p stones
17031841900,peaceful
17031842000,peaceful
17031842100,black p stones
17031842200,black p stones
17031842300,peaceful
17031842400,vice lords
17031842500,gangster disciples
17031842600,black p stones
17031842800,vice lords
17031842900,gangster disciples
17031843000,vice lords
17031843100,vice lords
17031843200,gangster disciples
17031843300,vice lords
17031843400,vice lords
17031843500,peaceful
17031843600,gangster disciples
17031843700,peaceful
17031843800,gangster disciples
17031843900,black p stones
