GEOID,total.x,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population,total.y,black,latino,percentage.black,percentage.latino
17031250700,2194,167,246,107,178,370,112,158,60,62,122,264,190,95,28,35,0,16700,9.723163998404846,6037,6037,5989,112,0.9920490309756501,0.0185522610568163
17031250800,842,99,126,35,70,22,29,71,68,42,23,126,26,71,14,0,20,22029,10.00011504611972,2488,2488,2132,303,0.8569131832797428,0.12178456591639872
17031251000,367,49,43,29,0,85,28,0,32,0,34,34,9,16,8,0,0,13252,9.491903763419787,1138,1138,1120,18,0.984182776801406,0.015817223198594025
17031251100,1677,554,104,72,154,98,129,60,59,48,134,95,83,58,11,18,0,13060,9.477309402830421,4498,4498,4117,289,0.9152956869719876,0.06425077812361049
17031251200,1184,103,61,43,89,96,62,87,49,74,175,137,120,65,9,14,0,14627,9.590624414887088,4280,4280,3935,347,0.919392523364486,0.08107476635514019
17031251300,1764,216,81,163,173,188,140,164,116,53,82,120,194,23,31,0,20,13414,9.504054216659682,5914,5914,5627,306,0.9514710855596888,0.051741630030436254
17031251400,1716,255,246,147,111,104,82,104,0,76,125,136,169,45,38,42,36,19762,9.891516180754907,4189,4189,3848,77,0.9185963237049415,0.018381475292432562
17031251500,1467,192,130,92,131,158,149,89,5,68,135,123,72,71,15,12,25,14867,9.60689927061335,4477,4477,4284,29,0.9568907750725932,0.006477551932097387
17031251600,1142,340,91,26,97,17,26,126,56,115,62,20,79,87,0,0,0,13307,9.496045491543743,3273,3273,3240,0,0.9899175068744271,0
17031251700,473,154,41,72,17,29,0,31,5,16,0,55,18,0,0,16,19,15617,9.656115343487846,1259,1259,1060,108,0.8419380460683081,0.0857823669579031
17031251800,1802,327,161,198,94,175,18,63,189,103,94,173,167,31,9,0,0,12551,9.437555622660446,5635,5635,5493,87,0.9748003549245785,0.015439219165927241
17031251900,1861,381,306,341,133,79,109,111,17,53,156,58,61,11,45,0,0,10674,9.27556615689389,5691,5691,5568,0,0.9783869267264101,0
17031252000,2153,357,343,211,95,87,216,41,193,135,93,169,107,32,47,27,0,16145,9.689365683192376,5269,5269,5039,168,0.9563484532169292,0.03188460808502562
17031260100,784,414,99,94,23,48,51,0,0,0,0,0,32,23,0,0,0,9859,9.196140022575042,1432,1432,1405,42,0.9811452513966481,0.029329608938547486
17031260200,332,31,57,38,33,22,43,27,0,9,38,34,0,0,0,0,0,9602,9.169726689090886,1141,1141,1141,0,1,0
17031260300,621,203,33,63,59,48,39,25,14,0,40,40,52,0,5,0,0,10608,9.269363712425644,2029,2029,1959,105,0.9655002464268112,0.051749630359783146
17031260400,454,142,100,30,7,15,43,0,0,24,79,7,0,7,0,0,0,9582,9.167641617443067,1231,1231,1224,0,0.9943135662063363,0
17031260500,569,205,20,62,25,15,36,97,0,34,9,23,43,0,0,0,0,10607,9.26926943950547,1641,1641,1641,0,1,0
17031260600,810,219,74,89,87,32,32,12,27,35,32,64,53,20,34,0,0,10414,9.250906333722844,2769,2769,2586,12,0.933911159263272,0.004333694474539545
17031260700,649,244,10,37,42,4,32,49,73,31,81,0,18,28,0,0,0,9171,9.123801610558944,2234,2234,2234,0,1,0
17031260800,907,196,24,54,61,83,54,33,8,104,58,90,9,49,49,35,0,15748,9.664468652063627,2901,2901,2604,176,0.8976215098241985,0.06066873491899345
17031260900,461,52,46,93,24,60,10,0,24,29,56,0,55,12,0,0,0,10387,9.248310303227811,1687,1687,1662,12,0.9851807943094251,0.007113218731475993
17031261000,751,121,71,19,30,90,73,32,20,10,77,132,71,0,5,0,0,14177,9.559376212117632,2199,2199,2155,0,0.9799909049567985,0
17031270500,743,218,87,30,61,18,44,34,10,20,85,0,88,23,25,0,0,13769,9.530174967444372,2085,2085,1850,58,0.8872901678657075,0.027817745803357313
17031010100,2181,477,204,220,33,131,90,121,88,101,179,128,205,82,39,51,32,20677,9.93677725040077,4835,4835,2661,650,0.5503619441571872,0.1344364012409514
17031010300,2975,307,228,152,300,159,203,129,187,46,349,413,261,84,76,0,81,23799,10.077398841970112,6571,6571,1665,1620,0.25338609039719984,0.24653781768376198
17031010400,2072,422,78,162,31,169,77,94,85,14,218,315,158,43,38,137,31,23972,10.084641761578077,4997,4997,853,922,0.17070242145287173,0.1845107064238543
17031010600,2917,256,155,69,192,192,111,85,177,73,186,670,270,131,204,90,56,26678,10.19159453470099,7075,7075,1884,1932,0.2662897526501767,0.27307420494699647
17031020100,1407,123,98,43,75,117,79,58,53,52,146,190,127,86,119,41,0,23642,10.070780070310322,3736,3736,1245,647,0.3332441113490364,0.17317987152034262
17031020200,2127,75,58,84,93,48,129,0,56,116,188,298,352,154,198,199,79,26450,10.183011437286446,6850,6850,1015,358,0.14817518248175182,0.052262773722627734
17031020400,1728,132,37,96,148,56,123,56,87,98,146,237,129,181,62,100,40,27038,10.20499856292435,4214,4214,487,485,0.11556715709539629,0.11509254864736593
17031020500,1874,204,190,158,156,129,143,149,146,77,172,43,162,80,39,26,0,15063,9.619996684702816,5409,5409,1109,1318,0.20502865594379738,0.24366796080606395
17031030200,2715,176,96,77,49,102,287,41,77,176,243,271,514,138,145,201,122,36949,10.517293862410662,5798,5798,406,498,0.07002414625733011,0.08589168678854778
17031030300,1302,214,121,98,75,82,116,15,96,42,16,126,137,88,21,27,28,23749,10.075295703313177,2834,2834,292,1078,0.10303458009880029,0.3803810868031052
17031030400,1367,91,176,126,63,76,19,39,45,51,121,126,148,140,42,52,52,33547,10.420702719623787,2687,2687,271,572,0.10085597320431708,0.2128768142910309
17031030500,2983,239,135,174,205,99,72,126,214,116,236,340,323,268,129,156,151,34538,10.449815446144616,6604,6604,717,1645,0.10857056329497275,0.24909145972138097
17031030800,2172,100,52,57,44,133,62,55,15,117,196,228,328,164,96,216,309,59470,10.993227262700639,4481,4481,18,412,0.004016960499888418,0.09194376255300156
17031030900,1462,72,15,39,63,59,119,81,118,56,75,223,228,93,122,50,49,32366,10.38486376807683,3354,3354,215,591,0.0641025641025641,0.17620751341681573
17031031000,1867,142,33,69,59,79,200,69,169,64,238,172,210,124,44,118,77,27407,10.218553734200675,4847,4847,182,2238,0.03754899938106045,0.4617289044769961
17031031100,2123,167,126,144,156,102,80,70,47,137,198,228,323,144,41,40,120,33875,10.430432558182002,4153,4153,177,773,0.04261979292078016,0.18613050806645798
17031031200,3040,984,323,296,315,167,104,67,26,110,27,126,219,56,97,76,47,17550,9.772809228894012,6572,6572,2372,679,0.36092513694461353,0.10331710286062082
17031031300,3652,592,239,371,155,338,235,59,243,103,266,321,92,390,68,123,57,27991,10.239638308916676,6940,6940,1530,463,0.22046109510086456,0.06671469740634006
17031031400,3757,220,149,187,96,120,101,156,136,127,461,305,497,345,201,385,271,61571,11.027946259449502,5542,5542,396,427,0.07145434861060988,0.07704799711295561
17031031700,3767,596,252,388,164,120,0,236,180,158,224,314,350,205,235,188,157,34317,10.443396137193783,7211,7211,1337,1216,0.18541117736791013,0.16863125780058244
17031031800,1078,85,118,47,11,66,0,11,57,41,34,136,163,111,17,81,100,45515,10.72579722093939,2016,2016,103,280,0.05109126984126984,0.1388888888888889
17031031900,1353,140,77,24,0,61,38,118,47,50,158,62,241,102,65,20,150,46758,10.752740643071617,2620,2620,262,525,0.1,0.20038167938931298
17031032100,4281,618,300,314,267,90,238,214,224,123,217,353,586,286,191,181,79,36480,10.504519444188269,7116,7116,961,997,0.1350477796514896,0.14010680157391794
17031040100,1809,81,59,38,60,67,101,118,71,29,155,127,227,315,166,122,73,36761,10.51219277958166,4569,4569,275,798,0.06018822499452834,0.17465528562048588
17031040300,1126,9,45,44,78,91,117,84,68,51,53,95,89,106,68,72,56,27671,10.228140212351999,3048,3048,280,337,0.09186351706036745,0.11056430446194225
17031040600,1300,45,39,41,153,43,40,33,51,33,172,104,182,95,107,68,94,38626,10.561680903832544,2694,2694,77,794,0.02858203414996288,0.2947290274684484
17031040700,1682,190,35,153,87,79,103,48,81,0,156,101,263,145,89,101,51,35178,10.46817616619227,3379,3379,133,422,0.03936075762059781,0.12488902042024268
17031040800,741,23,10,15,43,34,90,28,18,57,38,105,122,67,50,32,9,31967,10.37245939967773,1664,1664,105,346,0.06310096153846154,0.20793269230769232
17031040900,1086,100,18,99,40,31,50,93,30,104,37,154,90,64,54,35,87,42789,10.664036339191531,1928,1928,20,333,0.01037344398340249,0.17271784232365145
17031050100,1183,49,7,62,73,37,141,63,38,62,71,74,199,84,49,35,139,47050,10.758966145013526,2396,2396,40,104,0.01669449081803005,0.04340567612687813
17031050200,2323,159,66,95,135,221,60,60,91,61,152,242,328,109,167,137,240,43100,10.671278276091838,4968,4968,54,1330,0.010869565217391304,0.2677133655394525
17031050300,1146,0,56,0,22,30,65,25,27,32,186,101,159,91,157,117,78,46008,10.73657057339359,2571,2571,15,269,0.005834305717619603,0.10462854920264489
17031050500,2384,73,48,48,82,32,102,30,133,148,139,205,351,273,146,250,324,48537,10.790081672673447,5473,5473,0,289,0,0.052804677507765393
17031050600,965,25,18,17,0,44,6,37,58,30,85,66,79,238,54,124,84,50640,10.832497056818058,2090,2090,9,72,0.00430622009569378,0.03444976076555024
17031050700,822,10,19,7,34,0,17,18,7,21,78,108,130,57,91,127,98,53272,10.883166143790458,2033,2033,95,234,0.04672897196261682,0.11510083620265617
17031050800,517,5,66,21,7,0,0,16,5,20,44,38,60,53,19,59,104,69730,11.152385920215057,1362,1362,0,302,0,0.22173274596182085
17031050900,725,42,28,19,26,0,24,23,55,5,47,63,103,97,12,90,91,64427,11.073288078888153,1421,1421,48,133,0.03377902885292048,0.09359605911330049
17031051000,624,16,16,14,24,0,33,11,11,31,80,24,171,76,37,9,71,52899,10.876139714076032,1350,1350,0,397,0,0.2940740740740741
17031051100,703,10,0,36,0,26,18,25,19,54,22,88,90,61,38,76,140,51828,10.855685822748702,1594,1594,70,120,0.043914680050188205,0.07528230865746549
17031051200,837,26,9,0,0,35,76,88,17,23,64,87,65,32,83,103,129,58208,10.971778081317849,2077,2077,31,239,0.014925373134328358,0.1150698122291767
17031051300,1246,9,19,19,9,11,11,48,20,41,41,113,121,87,191,213,293,69219,11.145030670393274,2815,2815,0,168,0,0.05968028419182948
17031051400,950,77,41,20,8,28,36,0,69,45,64,106,110,40,82,66,158,51477,10.84889038495373,2267,2267,418,336,0.18438464931627702,0.1482134980149978
17031060100,1386,0,29,10,10,11,59,25,29,29,225,149,237,160,107,98,208,56757,10.946534275754528,3062,3062,125,431,0.04082299150881777,0.14075767472240366
17031060200,1122,72,13,60,67,37,35,39,99,51,94,106,194,107,56,55,37,42235,10.651004540161598,2069,2069,43,578,0.020782986950217495,0.27936201063315613
17031060300,1389,25,0,23,15,13,19,49,22,32,131,134,147,243,160,66,310,60676,11.013303511711563,3257,3257,0,166,0,0.050967147681915875
17031060400,1474,44,14,8,19,29,50,49,18,16,92,70,257,250,47,195,316,60723,11.014077817963646,3803,3803,12,335,0.003155403628714173,0.088088351301604
17031060500,767,156,132,45,30,15,0,0,0,6,43,0,102,47,67,33,91,69700,11.151955596748616,1252,1252,7,48,0.005591054313099041,0.038338658146964855
17031060800,3434,248,97,32,175,272,50,298,200,75,225,592,583,334,104,56,93,47128,10.760622583201524,5106,5106,262,556,0.05131218174696436,0.10889150019584802
17031060900,4874,391,132,268,225,185,277,239,319,260,560,472,505,364,184,276,217,52704,10.872446632977367,6584,6584,692,640,0.10510328068043742,0.09720534629404617
17031061000,938,14,9,36,15,30,43,55,69,24,132,32,116,80,16,47,220,76695,11.24759179618221,1667,1667,24,228,0.014397120575884824,0.1367726454709058
17031061100,615,8,11,8,17,63,27,12,12,0,41,63,180,78,11,38,46,42084,10.647422899928179,1356,1356,0,21,0,0.015486725663716814
17031061200,925,16,0,12,28,18,17,19,48,10,28,155,166,94,64,99,151,68033,11.127748160558784,2024,2024,12,81,0.005928853754940711,0.0400197628458498
