GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170318091001,612,0,0,10,8,12,11,23,0,10,68,64,65,90,31,82,138,62456,11.042217587800128
170318091002,336,22,0,0,0,0,0,0,0,10,10,12,50,50,12,61,109,71837,11.182154942638652
170318091003,549,11,12,0,0,10,32,15,43,10,26,40,67,90,0,47,146,72734,11.194564229573833
170318092001,295,38,10,0,11,0,26,37,7,64,0,8,34,12,0,42,6,15528,9.650400124848845
170318092002,590,20,140,66,7,40,10,21,26,0,43,101,49,40,8,8,11,28385,10.253616115604826
170318092003,368,18,9,33,9,15,0,58,10,30,38,29,66,17,5,31,0,16553,9.714322633260165
170318092004,295,34,11,0,0,17,0,6,0,15,39,12,49,32,22,19,39,28984,10.274499232574913
170318093001,493,60,64,11,0,0,12,13,15,0,54,11,11,49,52,37,104,47527,10.76905324958531
170318093002,693,186,69,33,32,61,51,49,16,18,18,34,13,41,14,35,23,21511,9.976319711185798
170318093003,807,201,58,40,124,14,16,27,15,14,13,11,56,48,12,67,91,31795,10.367064323701507
170318094001,471,37,49,25,81,13,17,12,14,0,0,25,17,15,16,34,116,98447,11.497273611282006
170318094002,777,220,59,26,13,14,22,28,44,0,14,115,87,31,9,30,65,43816,10.687754326463557
170318094003,1554,124,99,64,36,83,77,45,62,44,117,96,229,70,149,193,66,51706,10.853329107921365
170318095001,642,86,66,0,35,0,10,9,31,0,32,52,110,44,76,45,46,41528,10.634123177507066
170318095002,694,125,12,18,20,33,38,56,0,66,64,48,84,66,18,18,28,37646,10.535981985884124
170318095003,392,63,14,14,0,42,15,34,46,0,39,18,0,23,0,25,59,45230,10.719515862471889
170318096001,332,0,9,11,0,0,0,0,16,0,0,12,0,39,65,59,121,71016,11.170660482748156
170318096002,422,41,9,42,17,8,21,53,19,0,66,61,0,31,8,29,17,20557,9.930956794525674
170318096003,424,48,13,37,0,20,0,37,14,0,88,21,68,39,0,14,25,28548,10.259342160090958
170318097001,517,15,39,11,10,4,50,0,15,11,0,51,42,75,109,37,48,35797,10.485619369994788
170318097002,571,67,0,23,9,45,8,0,41,49,19,56,74,64,67,32,17,26915,10.200439030995058
170318097003,182,13,19,0,0,0,4,0,0,36,0,35,36,24,15,0,0,18636,9.832850472936688
170318098001,301,58,11,11,7,13,27,16,0,0,68,0,60,11,0,19,0,25513,10.146943405162217
170318098002,301,0,12,0,0,0,57,8,5,14,14,8,53,24,9,33,64,33136,10.408375583635365
170318098003,477,0,0,23,10,0,0,24,52,11,66,27,88,30,22,56,68,49217,10.803994371254475
170318099001,1404,25,25,6,11,23,89,42,39,41,163,74,88,224,92,149,313,87116,11.374995842870499
170318100001,959,42,28,35,43,49,45,43,20,16,139,66,76,160,92,49,56,55132,10.91748558881433
170318100002,959,14,93,9,28,26,39,0,38,32,115,63,133,24,89,80,176,53861,10.89416193284752
170318100003,739,42,12,0,13,40,13,54,12,31,144,79,109,43,27,21,99,52209,10.863010172802284
170318101001,241,9,14,0,0,0,24,0,19,19,72,0,44,17,0,23,0,29755,10.300752464078952
170318101002,549,11,56,22,0,89,39,45,10,27,52,56,22,18,45,10,47,31784,10.366718297494435
170318101003,428,0,0,10,10,0,14,19,0,0,52,90,110,67,0,45,11,40271,10.603386885918606
170318101004,209,0,0,24,0,12,0,0,0,0,47,27,46,0,29,11,13,37184,10.523633840211582
170318101005,446,14,13,16,0,22,22,45,34,25,41,41,55,43,31,13,31,38143,10.549097533638411
170318102001,383,13,56,0,0,90,0,0,77,12,0,14,51,26,44,0,0,26126,10.17068626604651
170318102002,542,26,12,48,75,31,0,0,14,17,6,97,109,29,41,37,0,23868,10.080293928641973
170318102003,289,14,29,0,54,29,11,14,13,9,75,0,41,0,0,0,0,17518,9.770984202723035
170318102004,558,43,15,29,6,12,30,35,30,29,77,53,59,46,37,39,18,41061,10.622814044879377
170318102005,348,14,0,0,0,0,14,13,26,13,0,64,42,123,16,0,23,31931,10.371332603727652
170318102006,402,0,0,23,90,13,27,0,14,16,46,21,49,62,14,27,0,34540,10.449873351700669
170318103011,326,9,14,13,0,0,28,5,11,28,0,25,76,61,40,9,7,37146,10.522611372747287
170318103012,314,5,0,0,6,55,0,0,14,0,10,49,40,69,25,29,12,26818,10.196828582839588
170318103013,414,12,0,17,16,16,16,8,0,44,46,25,71,75,30,25,13,27999,10.239924074233857
170318103014,465,25,26,0,0,0,38,59,54,0,43,38,81,57,0,30,14,34156,10.438693545027498
170318103021,509,9,0,37,24,12,9,0,37,0,27,76,66,96,46,24,46,37576,10.53412082770683
170318103022,405,11,0,12,61,21,0,25,29,17,9,30,22,86,14,43,25,42432,10.655658073545535
170318103023,287,0,12,15,0,37,0,0,0,0,40,0,32,34,50,49,18,36520,10.505615334708905
170318104001,299,8,9,11,43,7,0,0,11,17,20,88,0,16,19,10,40,48554,10.790431859615053
170318104002,418,9,0,10,21,0,12,32,0,17,49,11,71,6,57,35,88,45875,10.733675585356872
170318104003,692,8,40,39,0,27,33,38,18,67,112,55,55,68,77,45,10,28116,10.244094088295796
170318104004,347,0,0,0,0,34,11,0,0,0,49,12,80,9,116,10,26,34334,10.443891395830875
170318104005,81,0,0,0,0,0,12,10,0,0,0,35,0,10,0,0,14,112460,11.630352881846193
170318105011,439,27,20,78,27,18,30,41,14,8,29,42,32,38,0,35,0,28221,10.247821660640062
170318105012,385,0,0,17,9,31,9,22,49,17,84,12,109,15,0,11,0,21416,9.971893585200188
170318105013,478,40,9,13,43,19,17,0,9,9,77,70,50,15,16,74,17,26485,10.184333813978627
170318105014,337,0,9,18,99,32,8,0,0,0,40,59,16,21,13,9,13,27793,10.232539469410996
170318105015,306,0,6,10,0,28,21,31,21,0,26,48,38,30,0,27,20,25374,10.141480306700544
170318105021,470,57,10,26,40,8,36,35,0,41,50,102,15,30,20,0,0,23253,10.05418943494962
170318105022,339,0,14,0,81,19,0,0,13,0,66,48,57,16,0,25,0,20698,9.937792356228119
170318105023,451,16,56,49,29,17,16,38,12,71,43,44,18,33,0,9,0,18420,9.821192309809298
170318105024,410,0,10,43,0,13,45,0,38,9,84,48,37,22,13,48,0,30051,10.310651217279874
170318105025,313,0,0,14,8,68,16,0,0,0,24,11,66,54,0,10,42,33530,10.420195839460273
170318106001,608,29,35,0,33,0,13,12,0,0,137,80,79,111,0,39,40,38583,10.560567043934196
170318106002,541,21,20,43,49,0,0,0,62,19,0,27,200,64,36,0,0,28058,10.242029075278717
170318106003,547,52,0,40,11,22,55,44,54,47,61,70,33,20,0,19,19,29473,10.291229868989722
170318107011,458,35,62,22,32,30,98,0,5,0,29,36,49,30,21,9,0,18311,9.815257251141714
170318107012,489,23,18,31,0,54,10,11,13,47,99,9,81,72,21,0,0,23842,10.079204010277946
170318107013,427,18,74,0,11,25,0,22,53,33,81,46,16,48,0,0,0,15661,9.658928824466434
170318107014,360,42,12,24,46,10,33,53,18,10,14,11,41,20,26,0,0,19858,9.896362227593539
170318107021,561,1,155,35,13,24,8,18,19,19,35,23,88,80,32,11,0,22026,9.999978852724889
170318107022,324,24,0,0,55,0,42,48,30,9,23,0,38,26,10,9,10,26584,10.18806481003443
170318107023,656,76,77,26,0,7,65,42,67,0,58,72,90,46,16,14,0,20988,9.951706124806602
170318108001,372,0,30,57,17,9,7,0,55,20,71,23,43,9,22,0,9,23255,10.054275441658197
170318108002,196,0,0,0,18,6,7,0,8,0,9,30,38,37,10,33,0,32503,10.389087671750044
170318108003,418,0,0,0,13,8,7,34,0,0,32,104,95,61,44,20,0,21684,9.98432994038023
170318108004,383,44,8,35,0,32,14,7,21,11,9,19,90,59,0,11,23,31256,10.349966636734907
170318108005,264,0,9,23,0,29,5,8,32,8,44,12,29,23,35,0,7,27056,10.205664071138361
170318109001,492,105,0,36,10,28,87,10,24,0,26,99,50,0,0,17,0,18222,9.810384934273804
170318109002,649,75,0,10,31,34,47,38,50,48,0,153,86,51,10,16,0,24051,10.087931854711062
170318109003,253,0,10,25,11,11,10,26,17,0,9,0,75,45,0,14,0,27638,10.22694691636343
170318109004,542,51,11,47,78,11,25,0,43,12,53,51,37,36,0,69,18,37453,10.530842092546065
170318109005,467,16,17,37,0,0,80,59,0,30,92,0,70,38,16,12,0,21816,9.990398924525424
170318110001,297,28,0,0,0,0,14,9,6,0,0,27,123,23,24,18,25,37669,10.536592754010393
170318110002,227,0,15,21,0,19,8,20,8,0,14,26,23,38,17,18,0,27349,10.216435244110384
170318110003,302,0,0,36,23,0,11,8,0,5,18,28,29,65,31,8,40,31726,10.3648918129684
170318110004,355,10,17,8,7,49,12,8,0,15,37,68,33,9,37,23,22,37894,10.542548067192307
170318110005,358,26,9,0,7,14,32,8,22,31,0,55,47,17,41,40,9,29836,10.303470997075054
170318111001,1232,70,59,103,93,121,48,85,28,87,192,183,135,28,0,0,0,20961,9.950418847220561
170318111002,532,68,26,54,31,42,14,58,64,23,37,24,32,47,0,12,0,20192,9.913041765340939
170318111003,275,11,10,12,9,53,0,0,22,21,71,0,18,23,14,11,0,17994,9.797793647977064
170318111004,542,10,41,0,31,49,11,98,50,0,128,11,68,32,0,13,0,22960,10.041508850433503
170318112001,385,9,0,10,22,35,67,0,65,47,0,28,44,36,0,0,22,22963,10.041639503918871
170318112002,531,8,0,3,19,19,18,18,6,47,78,114,99,83,7,12,0,21640,9.982298732960418
170318112003,238,6,0,0,0,0,13,22,8,25,48,34,23,23,19,9,8,28417,10.254742836614135
170318112004,412,18,46,18,30,19,15,0,8,34,15,68,28,60,18,35,0,23050,10.045421048424794
170318112005,133,0,0,0,5,0,0,0,37,0,31,7,32,10,11,0,0,24401,10.102379394048045
170318113011,396,30,9,31,10,73,22,74,0,8,28,8,19,21,17,46,0,21868,9.99277966001489
170318113012,254,0,0,29,30,0,10,7,42,11,0,27,54,44,0,0,0,16820,9.73032393352694
170318113013,229,22,0,15,18,10,0,4,9,0,9,50,60,19,7,6,0,16959,9.738553945343401
170318113014,170,8,7,9,0,0,0,14,0,17,31,46,22,16,0,0,0,22174,10.006675710332297
170318113015,328,0,9,0,0,0,63,23,8,15,61,58,50,29,0,12,0,18047,9.800734744961298
170318113021,353,20,0,27,10,17,6,16,29,6,97,66,34,10,0,0,15,20737,9.93967482329784
170318113022,745,137,60,19,35,90,104,59,10,14,37,90,73,17,0,0,0,12185,9.407960966059306
170318114011,282,0,31,69,24,0,0,0,0,0,26,18,56,24,20,14,0,14710,9.596282813595483
170318114012,273,17,8,10,0,0,9,0,0,11,12,73,45,65,12,0,11,30429,10.323151380044106
170318114013,408,9,8,10,21,16,28,22,10,22,12,70,96,19,24,41,0,25496,10.146276856097172
