GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population
17031242500,1507,207,42,16,145,118,89,119,68,101,95,98,164,70,93,65,17,20325,9.919606934416011,4468
17031242600,2292,490,145,130,130,19,106,126,89,134,101,239,234,82,107,110,50,28083,10.242919690039855,5031
17031242700,742,91,44,32,124,11,91,10,68,0,171,21,0,31,12,25,11,18086,9.802893437300426,2157
17031242800,628,12,13,50,43,63,31,13,38,29,46,47,74,29,42,57,41,32461,10.38779464774131,1621
17031242900,926,0,9,171,11,93,21,96,45,18,61,93,109,71,10,63,55,37745,10.538608295573725,1907
17031243000,1091,64,83,11,0,131,44,45,59,22,58,86,174,105,21,87,101,44438,10.701850238240384,2437
17031243100,846,54,59,36,0,31,35,97,21,18,108,72,122,63,33,53,44,37030,10.519483673907658,1956
17031243200,827,27,0,28,69,44,11,0,12,34,68,78,135,86,65,112,58,43214,10.673919795805615,1896
17031243300,1218,113,35,9,69,55,23,47,57,53,80,184,155,108,30,91,109,45020,10.714862114460724,2427
17031243400,1292,100,63,31,53,75,33,66,44,47,109,191,142,173,110,20,35,34164,10.438927737066038,2734
17031243500,1669,131,26,30,29,17,22,96,22,73,80,203,246,158,137,194,205,61019,11.018940570066889,3080
17031250200,873,49,65,74,52,22,48,80,47,38,76,75,131,36,43,20,17,17354,9.761578306353435,3105
17031250300,1457,208,114,98,32,118,79,111,35,70,183,135,138,123,0,0,13,17208,9.753129670947565,4146
17031250400,1997,128,64,106,24,194,146,100,54,68,262,269,224,80,98,156,24,18643,9.833226019495461,7749
17031250500,2894,187,92,200,66,96,114,78,143,156,193,182,507,427,195,157,101,29441,10.290143539657238,7960
17031250600,1438,227,63,80,137,65,53,71,41,135,105,179,71,67,102,32,10,15831,9.669725322073777,5161
17031250700,2194,167,246,107,178,370,112,158,60,62,122,264,190,95,28,35,0,16700,9.723163998404846,6037
17031250800,842,99,126,35,70,22,29,71,68,42,23,126,26,71,14,0,20,22029,10.00011504611972,2488
17031251000,367,49,43,29,0,85,28,0,32,0,34,34,9,16,8,0,0,13252,9.491903763419787,1138
17031251100,1677,554,104,72,154,98,129,60,59,48,134,95,83,58,11,18,0,13060,9.477309402830421,4498
17031251200,1184,103,61,43,89,96,62,87,49,74,175,137,120,65,9,14,0,14627,9.590624414887088,4280
17031251300,1764,216,81,163,173,188,140,164,116,53,82,120,194,23,31,0,20,13414,9.504054216659682,5914
17031251400,1716,255,246,147,111,104,82,104,0,76,125,136,169,45,38,42,36,19762,9.891516180754907,4189
17031251500,1467,192,130,92,131,158,149,89,5,68,135,123,72,71,15,12,25,14867,9.60689927061335,4477
17031251600,1142,340,91,26,97,17,26,126,56,115,62,20,79,87,0,0,0,13307,9.496045491543743,3273
17031251700,473,154,41,72,17,29,0,31,5,16,0,55,18,0,0,16,19,15617,9.656115343487846,1259
17031251800,1802,327,161,198,94,175,18,63,189,103,94,173,167,31,9,0,0,12551,9.437555622660446,5635
17031251900,1861,381,306,341,133,79,109,111,17,53,156,58,61,11,45,0,0,10674,9.27556615689389,5691
17031252000,2153,357,343,211,95,87,216,41,193,135,93,169,107,32,47,27,0,16145,9.689365683192376,5269
17031260100,784,414,99,94,23,48,51,0,0,0,0,0,32,23,0,0,0,9859,9.196140022575042,1432
17031260200,332,31,57,38,33,22,43,27,0,9,38,34,0,0,0,0,0,9602,9.169726689090886,1141
17031260300,621,203,33,63,59,48,39,25,14,0,40,40,52,0,5,0,0,10608,9.269363712425644,2029
17031260400,454,142,100,30,7,15,43,0,0,24,79,7,0,7,0,0,0,9582,9.167641617443067,1231
17031260500,569,205,20,62,25,15,36,97,0,34,9,23,43,0,0,0,0,10607,9.26926943950547,1641
17031260600,810,219,74,89,87,32,32,12,27,35,32,64,53,20,34,0,0,10414,9.250906333722844,2769
17031260700,649,244,10,37,42,4,32,49,73,31,81,0,18,28,0,0,0,9171,9.123801610558944,2234
17031260800,907,196,24,54,61,83,54,33,8,104,58,90,9,49,49,35,0,15748,9.664468652063627,2901
17031260900,461,52,46,93,24,60,10,0,24,29,56,0,55,12,0,0,0,10387,9.248310303227811,1687
17031261000,751,121,71,19,30,90,73,32,20,10,77,132,71,0,5,0,0,14177,9.559376212117632,2199
17031270500,743,218,87,30,61,18,44,34,10,20,85,0,88,23,25,0,0,13769,9.530174967444372,2085
17031010100,2181,477,204,220,33,131,90,121,88,101,179,128,205,82,39,51,32,20677,9.93677725040077,4835
17031010300,2975,307,228,152,300,159,203,129,187,46,349,413,261,84,76,0,81,23799,10.077398841970112,6571
17031010400,2072,422,78,162,31,169,77,94,85,14,218,315,158,43,38,137,31,23972,10.084641761578077,4997
17031010600,2917,256,155,69,192,192,111,85,177,73,186,670,270,131,204,90,56,26678,10.19159453470099,7075
17031020100,1407,123,98,43,75,117,79,58,53,52,146,190,127,86,119,41,0,23642,10.070780070310322,3736
17031020200,2127,75,58,84,93,48,129,0,56,116,188,298,352,154,198,199,79,26450,10.183011437286446,6850
17031020400,1728,132,37,96,148,56,123,56,87,98,146,237,129,181,62,100,40,27038,10.20499856292435,4214
17031020500,1874,204,190,158,156,129,143,149,146,77,172,43,162,80,39,26,0,15063,9.619996684702816,5409
17031030200,2715,176,96,77,49,102,287,41,77,176,243,271,514,138,145,201,122,36949,10.517293862410662,5798
17031030300,1302,214,121,98,75,82,116,15,96,42,16,126,137,88,21,27,28,23749,10.075295703313177,2834
17031030400,1367,91,176,126,63,76,19,39,45,51,121,126,148,140,42,52,52,33547,10.420702719623787,2687
17031030500,2983,239,135,174,205,99,72,126,214,116,236,340,323,268,129,156,151,34538,10.449815446144616,6604
